State,Year,Season,Crop,Area,Rainfall,Production
Andaman and Nicobar Islands,2000,Kharif     ,Arecanut,1254,2763.2,2000
Andaman and Nicobar Islands,2000,Kharif     ,Other Kharif pulses,2,2763.2,1
Andaman and Nicobar Islands,2000,Kharif     ,Rice,102,2763.2,321
Andaman and Nicobar Islands,2000,Whole Year ,Banana,176,2763.2,641
Andaman and Nicobar Islands,2000,Whole Year ,Cashewnut,720,2763.2,165
Andaman and Nicobar Islands,2000,Whole Year ,Coconut ,18168,2763.2,65100000
Andaman and Nicobar Islands,2000,Whole Year ,Dry ginger,36,2763.2,100
Andaman and Nicobar Islands,2000,Whole Year ,Sugarcane,1,2763.2,2
Andaman and Nicobar Islands,2000,Whole Year ,Sweet potato,5,2763.2,15
Andaman and Nicobar Islands,2000,Whole Year ,Tapioca,40,2763.2,169
Andaman and Nicobar Islands,2001,Kharif     ,Arecanut,1254,3080.9,2061
Andaman and Nicobar Islands,2001,Kharif     ,Other Kharif pulses,2,3080.9,1
Andaman and Nicobar Islands,2001,Kharif     ,Rice,83,3080.9,300
Andaman and Nicobar Islands,2001,Whole Year ,Cashewnut,719,3080.9,192
Andaman and Nicobar Islands,2001,Whole Year ,Coconut ,18190,3080.9,64430000
Andaman and Nicobar Islands,2001,Whole Year ,Dry ginger,46,3080.9,100
Andaman and Nicobar Islands,2001,Whole Year ,Sugarcane,1,3080.9,1
Andaman and Nicobar Islands,2001,Whole Year ,Sweet potato,11,3080.9,33
Andaman and Nicobar Islands,2002,Kharif     ,Rice,189.2,2620.2,510.84
Andaman and Nicobar Islands,2002,Whole Year ,Arecanut,1258,2620.2,2083
Andaman and Nicobar Islands,2002,Whole Year ,Banana,213,2620.2,1278
Andaman and Nicobar Islands,2002,Whole Year ,Black pepper,63,2620.2,13.5
Andaman and Nicobar Islands,2002,Whole Year ,Cashewnut,719,2620.2,208
Andaman and Nicobar Islands,2002,Whole Year ,Coconut ,18240,2620.2,67490000
Andaman and Nicobar Islands,2002,Whole Year ,Dry chillies,413,2620.2,28.8
Andaman and Nicobar Islands,2002,Whole Year ,Dry ginger,47.3,2620.2,133
Andaman and Nicobar Islands,2002,Whole Year ,Sugarcane,5,2620.2,40
Andaman and Nicobar Islands,2003,Kharif     ,Rice,52,2355.9,90.17
Andaman and Nicobar Islands,2003,Whole Year ,Arecanut,1261,2355.9,1525
Andaman and Nicobar Islands,2003,Whole Year ,Banana,266,2355.9,1763
Andaman and Nicobar Islands,2003,Whole Year ,Black pepper,75.5,2355.9,15.86
Andaman and Nicobar Islands,2003,Whole Year ,Cashewnut,717,2355.9,208.5
Andaman and Nicobar Islands,2003,Whole Year ,Coconut ,18284.74,2355.9,68580000
Andaman and Nicobar Islands,2003,Whole Year ,Dry chillies,60,2355.9,102
Andaman and Nicobar Islands,2003,Whole Year ,Dry ginger,102,2355.9,326.4
Andaman and Nicobar Islands,2003,Whole Year ,other oilseeds,4.2,2355.9,0.3
Andaman and Nicobar Islands,2004,Kharif     ,Rice,52.94,2460.1,72.57
Andaman and Nicobar Islands,2004,Whole Year ,Arecanut,1264.7,2460.1,805.85
Andaman and Nicobar Islands,2004,Whole Year ,Banana,66.42,2460.1,404.12
Andaman and Nicobar Islands,2004,Whole Year ,Black pepper,85,2460.1,15.86
Andaman and Nicobar Islands,2004,Whole Year ,Cashewnut,683.5,2460.1,197.9
Andaman and Nicobar Islands,2004,Whole Year ,Coconut ,18394.7,2460.1,52380000
Andaman and Nicobar Islands,2004,Whole Year ,Dry chillies,60,2460.1,145.2
Andaman and Nicobar Islands,2004,Whole Year ,Dry ginger,118,2460.1,366
Andaman and Nicobar Islands,2004,Whole Year ,other oilseeds,1,2460.1,0.11
Andaman and Nicobar Islands,2005,Kharif     ,Rice,2.09,2954.7,12.06
Andaman and Nicobar Islands,2005,Whole Year ,Banana,22,2954.7,582
Andaman and Nicobar Islands,2005,Whole Year ,Black pepper,41,2954.7,0.1
Andaman and Nicobar Islands,2005,Whole Year ,Cashewnut,450,2954.7,55.8
Andaman and Nicobar Islands,2005,Whole Year ,Coconut ,13876.57,2954.7,52030000
Andaman and Nicobar Islands,2005,Whole Year ,Turmeric,10,2954.7,70
Andaman and Nicobar Islands,2006,Whole Year ,Arecanut,896,2404.7,477.6
Andaman and Nicobar Islands,2006,Whole Year ,Banana,198,2404.7,976
Andaman and Nicobar Islands,2006,Whole Year ,Black pepper,22.16,2404.7,0.68
Andaman and Nicobar Islands,2006,Whole Year ,Cashewnut,450,2404.7,85.13
Andaman and Nicobar Islands,2006,Whole Year ,Coconut ,14358,2404.7,59370000
Andaman and Nicobar Islands,2006,Whole Year ,Dry chillies,3,2404.7,9
Andaman and Nicobar Islands,2006,Whole Year ,Dry ginger,6,2404.7,21
Andaman and Nicobar Islands,2006,Whole Year ,Sugarcane,0.2,2404.7,0.5
Andaman and Nicobar Islands,2006,Whole Year ,Sweet potato,18,2404.7,86
Andaman and Nicobar Islands,2006,Whole Year ,Tapioca,52.03,2404.7,450
Andaman and Nicobar Islands,2006,Whole Year ,Turmeric,2.5,2404.7,1.03
Andaman and Nicobar Islands,2010,Autumn     ,Rice,3.5,3157.1,10
Andaman and Nicobar Islands,2010,Autumn     ,Sugarcane,13.4,3157.1,41.75
Andaman and Nicobar Islands,2010,Rabi       ,Arecanut,944,3157.1,1610
Andaman and Nicobar Islands,2010,Rabi       ,Black pepper,23,3157.1,8.5
Andaman and Nicobar Islands,2010,Rabi       ,Cashewnut,1000.5,3157.1,260.5
Andaman and Nicobar Islands,2010,Rabi       ,Dry chillies,12,3157.1,25
Andaman and Nicobar Islands,2010,Rabi       ,Dry ginger,7,3157.1,9.64
Andaman and Nicobar Islands,2010,Rabi       ,Maize,3.84,3157.1,18.22
Andaman and Nicobar Islands,2010,Rabi       ,Moong(Green Gram),1.5,3157.1,1.1
Andaman and Nicobar Islands,2010,Rabi       ,Sweet potato,22,3157.1,208
Andaman and Nicobar Islands,2010,Rabi       ,Turmeric,2,3157.1,0.5
Andaman and Nicobar Islands,2010,Rabi       ,Urad,1.5,3157.1,1.16
Andaman and Nicobar Islands,2010,Whole Year ,Banana,593,3157.1,3425
Andaman and Nicobar Islands,2010,Whole Year ,Coconut ,14560,3157.1,71300000
Andaman and Nicobar Islands,2010,Whole Year ,Tapioca,69,3157.1,575
Andaman and Nicobar Islands,2000,Kharif     ,Arecanut,3100,2763.2,5200
Andaman and Nicobar Islands,2000,Kharif     ,Other Kharif pulses,668,2763.2,448
Andaman and Nicobar Islands,2000,Kharif     ,Rice,10779,2763.2,31863
Andaman and Nicobar Islands,2000,Whole Year ,Banana,1531,2763.2,12073
Andaman and Nicobar Islands,2000,Whole Year ,Cashewnut,80,2763.2,54
Andaman and Nicobar Islands,2000,Whole Year ,Coconut ,6992,2763.2,23900000
Andaman and Nicobar Islands,2000,Whole Year ,Dry ginger,352,2763.2,1120
Andaman and Nicobar Islands,2000,Whole Year ,other oilseeds,133,2763.2,55
Andaman and Nicobar Islands,2000,Whole Year ,Sugarcane,141,2763.2,3736
Andaman and Nicobar Islands,2000,Whole Year ,Sweet potato,78,2763.2,843
Andaman and Nicobar Islands,2000,Whole Year ,Tapioca,160,2763.2,2108
Andaman and Nicobar Islands,2001,Kharif     ,Arecanut,3100,3080.9,5239
Andaman and Nicobar Islands,2001,Kharif     ,Other Kharif pulses,418,3080.9,199
Andaman and Nicobar Islands,2001,Kharif     ,Rice,9718,3080.9,27033
Andaman and Nicobar Islands,2001,Whole Year ,Cashewnut,81,3080.9,33
Andaman and Nicobar Islands,2001,Whole Year ,Coconut ,7015,3080.9,25250000
Andaman and Nicobar Islands,2001,Whole Year ,Dry ginger,344,3080.9,1124
Andaman and Nicobar Islands,2001,Whole Year ,Sugarcane,81,3080.9,2379
Andaman and Nicobar Islands,2001,Whole Year ,Sweet potato,100,3080.9,5
Andaman and Nicobar Islands,2006,Kharif     ,Rice,6854.3,2404.7,18995.62
Andaman and Nicobar Islands,2006,Whole Year ,Arecanut,1160,2404.7,3011.7
Andaman and Nicobar Islands,2006,Whole Year ,Banana,957.57,2404.7,8582
Andaman and Nicobar Islands,2006,Whole Year ,Black pepper,175,2404.7,191.14
Andaman and Nicobar Islands,2006,Whole Year ,Cashewnut,40.5,2404.7,44
Andaman and Nicobar Islands,2006,Whole Year ,Coconut ,3575,2404.7,15400000
Andaman and Nicobar Islands,2006,Whole Year ,Dry chillies,235.72,2404.7,824.3
Andaman and Nicobar Islands,2006,Whole Year ,Dry ginger,98.66,2404.7,929
Andaman and Nicobar Islands,2006,Whole Year ,other oilseeds,35.62,2404.7,21.4
Andaman and Nicobar Islands,2006,Whole Year ,Sugarcane,71.3,2404.7,1500
Andaman and Nicobar Islands,2006,Whole Year ,Sweet potato,30,2404.7,240
Andaman and Nicobar Islands,2006,Whole Year ,Tapioca,255,2404.7,1420
Andaman and Nicobar Islands,2006,Whole Year ,Turmeric,68,2404.7,408
Andaman and Nicobar Islands,2010,Autumn     ,Rice,6791,3157.1,20118
Andaman and Nicobar Islands,2010,Autumn     ,Sugarcane,73.33,3157.1,889.2
Andaman and Nicobar Islands,2010,Rabi       ,Arecanut,1296,3157.1,2290
Andaman and Nicobar Islands,2010,Rabi       ,Arhar/Tur,294.5,3157.1,90.8
Andaman and Nicobar Islands,2010,Rabi       ,Black pepper,168,3157.1,13.5
Andaman and Nicobar Islands,2010,Rabi       ,Cashewnut,84.5,3157.1,39
Andaman and Nicobar Islands,2010,Rabi       ,Dry chillies,254,3157.1,402
Andaman and Nicobar Islands,2010,Rabi       ,Dry ginger,110,3157.1,1011.84
Andaman and Nicobar Islands,2010,Rabi       ,Groundnut,4.75,3157.1,6.8
Andaman and Nicobar Islands,2010,Rabi       ,Maize,86.7,3157.1,96.4
Andaman and Nicobar Islands,2010,Rabi       ,Moong(Green Gram),1168.6,3157.1,556.55
Andaman and Nicobar Islands,2010,Rabi       ,Sunflower,2.9,3157.1,1.9
Andaman and Nicobar Islands,2010,Rabi       ,Sweet potato,109,3157.1,480
Andaman and Nicobar Islands,2010,Rabi       ,Turmeric,68,3157.1,376.5
Andaman and Nicobar Islands,2010,Rabi       ,Urad,1059.5,3157.1,458.79
Andaman and Nicobar Islands,2010,Whole Year ,Banana,657,3157.1,7968
Andaman and Nicobar Islands,2010,Whole Year ,Coconut ,3668,3157.1,12700000
Andaman and Nicobar Islands,2010,Whole Year ,Tapioca,186.5,3157.1,1355
Andaman and Nicobar Islands,2002,Kharif     ,Rice,10695.8,2620.2,31600.82
Andaman and Nicobar Islands,2002,Whole Year ,Arecanut,3105,2620.2,5267
Andaman and Nicobar Islands,2002,Whole Year ,Banana,1524,2620.2,10882
Andaman and Nicobar Islands,2002,Whole Year ,Black pepper,487,2620.2,102.5
Andaman and Nicobar Islands,2002,Whole Year ,Cashewnut,81,2620.2,24
Andaman and Nicobar Islands,2002,Whole Year ,Coconut ,7060,2620.2,26830000
Andaman and Nicobar Islands,2002,Whole Year ,Dry chillies,239,2620.2,20.9
Andaman and Nicobar Islands,2002,Whole Year ,Dry ginger,352,2620.2,1145
Andaman and Nicobar Islands,2002,Whole Year ,other oilseeds,85.1,2620.2,40.31
Andaman and Nicobar Islands,2002,Whole Year ,Sugarcane,455,2620.2,13760
Andaman and Nicobar Islands,2003,Kharif     ,Rice,10509.37,2355.9,30760.7
Andaman and Nicobar Islands,2003,Whole Year ,Arecanut,3118,2355.9,5182
Andaman and Nicobar Islands,2003,Whole Year ,Banana,1530,2355.9,11558
Andaman and Nicobar Islands,2003,Whole Year ,Black pepper,497,2355.9,104.37
Andaman and Nicobar Islands,2003,Whole Year ,Cashewnut,116.5,2355.9,26.14
Andaman and Nicobar Islands,2003,Whole Year ,Coconut ,7110,2355.9,26660000
Andaman and Nicobar Islands,2003,Whole Year ,Dry chillies,340,2355.9,578
Andaman and Nicobar Islands,2003,Whole Year ,Dry ginger,406,2355.9,1299.2
Andaman and Nicobar Islands,2003,Whole Year ,other oilseeds,82.09,2355.9,35.51
Andaman and Nicobar Islands,2003,Whole Year ,Sugarcane,268,2355.9,2879.52
Andaman and Nicobar Islands,2004,Kharif     ,Rice,10681.98,2460.1,29119.66
Andaman and Nicobar Islands,2004,Whole Year ,Arecanut,3160.67,2460.1,3975.2
Andaman and Nicobar Islands,2004,Whole Year ,Banana,1912.1,2460.1,17374.4
Andaman and Nicobar Islands,2004,Whole Year ,Black pepper,570,2460.1,104.36
Andaman and Nicobar Islands,2004,Whole Year ,Cashewnut,116.5,2460.1,25.1
Andaman and Nicobar Islands,2004,Whole Year ,Coconut ,7156.7,2460.1,34750000
Andaman and Nicobar Islands,2004,Whole Year ,Dry chillies,340,2460.1,822.8
Andaman and Nicobar Islands,2004,Whole Year ,Dry ginger,410,2460.1,1462
Andaman and Nicobar Islands,2004,Whole Year ,other oilseeds,89.3,2460.1,46.5
Andaman and Nicobar Islands,2004,Whole Year ,Sugarcane,145.26,2460.1,1560
Andaman and Nicobar Islands,2005,Kharif     ,Rice,8683.38,2954.7,25870.98
Andaman and Nicobar Islands,2005,Whole Year ,Arecanut,3250.78,2954.7,3058.46
Andaman and Nicobar Islands,2005,Whole Year ,Banana,1656.8,2954.7,10251.13
Andaman and Nicobar Islands,2005,Whole Year ,Black pepper,656.45,2954.7,35.95
Andaman and Nicobar Islands,2005,Whole Year ,Cashewnut,118.5,2954.7,30.22
Andaman and Nicobar Islands,2005,Whole Year ,Coconut ,7050.45,2954.7,26430000
Andaman and Nicobar Islands,2005,Whole Year ,Dry chillies,370.7,2954.7,877.6
Andaman and Nicobar Islands,2005,Whole Year ,Dry ginger,200,2954.7,1800
Andaman and Nicobar Islands,2005,Whole Year ,other oilseeds,53.55,2954.7,34.2
Andaman and Nicobar Islands,2005,Whole Year ,Sugarcane,128.02,2954.7,2448.2
Andaman and Nicobar Islands,2005,Whole Year ,Sweet potato,131.9,2954.7,700.35
Andaman and Nicobar Islands,2005,Whole Year ,Tapioca,254.5,2954.7,1480
Andaman and Nicobar Islands,2005,Whole Year ,Turmeric,81.7,2954.7,572
Andaman and Nicobar Islands,2006,Kharif     ,Rice,921.87,2404.7,2539.64
Andaman and Nicobar Islands,2006,Whole Year ,Arecanut,2000,2404.7,2350
Andaman and Nicobar Islands,2006,Whole Year ,Banana,483,2404.7,4150
Andaman and Nicobar Islands,2006,Whole Year ,Black pepper,413.1,2404.7,20.18
Andaman and Nicobar Islands,2006,Whole Year ,Cashewnut,79.5,2404.7,26
Andaman and Nicobar Islands,2006,Whole Year ,Coconut ,3483.09,2404.7,14190000
Andaman and Nicobar Islands,2006,Whole Year ,Dry chillies,124.6,2404.7,34.7
Andaman and Nicobar Islands,2006,Whole Year ,Dry ginger,100.9,2404.7,900
Andaman and Nicobar Islands,2006,Whole Year ,other oilseeds,24,2404.7,14.98
Andaman and Nicobar Islands,2006,Whole Year ,Sugarcane,53.5,2404.7,999.5
Andaman and Nicobar Islands,2006,Whole Year ,Sweet potato,30.4,2404.7,220
Andaman and Nicobar Islands,2006,Whole Year ,Tapioca,40,2404.7,160
Andaman and Nicobar Islands,2006,Whole Year ,Turmeric,10,2404.7,60
Andaman and Nicobar Islands,2010,Autumn     ,Rice,1595.5,3157.1,3788
Andaman and Nicobar Islands,2010,Autumn     ,Sugarcane,67.5,3157.1,402
Andaman and Nicobar Islands,2010,Rabi       ,Arecanut,1912,3157.1,1900
Andaman and Nicobar Islands,2010,Rabi       ,Arhar/Tur,20.5,3157.1,13.2
Andaman and Nicobar Islands,2010,Rabi       ,Black pepper,409,3157.1,98
Andaman and Nicobar Islands,2010,Rabi       ,Cashewnut,15,3157.1,10.5
Andaman and Nicobar Islands,2010,Rabi       ,Dry chillies,128,3157.1,148
Andaman and Nicobar Islands,2010,Rabi       ,Dry ginger,94,3157.1,828.52
Andaman and Nicobar Islands,2010,Rabi       ,Groundnut,15.5,3157.1,7.6
Andaman and Nicobar Islands,2010,Rabi       ,Maize,73,3157.1,253
Andaman and Nicobar Islands,2010,Rabi       ,Moong(Green Gram),29.9,3157.1,17.85
Andaman and Nicobar Islands,2010,Rabi       ,Sunflower,1,3157.1,0.5
Andaman and Nicobar Islands,2010,Rabi       ,Sweet potato,32,3157.1,235
Andaman and Nicobar Islands,2010,Rabi       ,Turmeric,10,3157.1,105
Andaman and Nicobar Islands,2010,Rabi       ,Urad,34,3157.1,15.05
Andaman and Nicobar Islands,2010,Whole Year ,Banana,360,3157.1,5517
Andaman and Nicobar Islands,2010,Whole Year ,Coconut ,3540,3157.1,11000000
Andaman and Nicobar Islands,2010,Whole Year ,Tapioca,22.5,3157.1,220
Arunachal Pradesh,2004,Kharif     ,Maize,2453,2545.7,2674
Arunachal Pradesh,2004,Kharif     ,Rice,3342,2545.7,1914
Arunachal Pradesh,2004,Kharif     ,Small millets,532,2545.7,495
Arunachal Pradesh,2004,Rabi       ,Wheat,30,2545.7,60
Arunachal Pradesh,2004,Whole Year ,Dry chillies,13,2545.7,18
Arunachal Pradesh,2004,Whole Year ,Dry ginger,60,2545.7,420
Arunachal Pradesh,2004,Whole Year ,Potato,86,2545.7,688
Arunachal Pradesh,2004,Whole Year ,Sugarcane,5,2545.7,50
Arunachal Pradesh,2004,Whole Year ,Turmeric,8,2545.7,20
Arunachal Pradesh,2005,Kharif     ,Maize,3000,2335.5,2700
Arunachal Pradesh,2005,Kharif     ,Rice,3400,2335.5,5000
Arunachal Pradesh,2005,Kharif     ,Small millets,585,2335.5,525
Arunachal Pradesh,2005,Rabi       ,Wheat,32,2335.5,65
Arunachal Pradesh,2005,Whole Year ,Dry chillies,20,2335.5,28
Arunachal Pradesh,2005,Whole Year ,Dry ginger,65,2335.5,455
Arunachal Pradesh,2005,Whole Year ,Potato,90,2335.5,720
Arunachal Pradesh,2005,Whole Year ,Sugarcane,7,2335.5,70
Arunachal Pradesh,2005,Whole Year ,Turmeric,10,2335.5,25
Arunachal Pradesh,2006,Kharif     ,Maize,3234,2259.6,3719
Arunachal Pradesh,2006,Kharif     ,Rice,4060,2259.6,3004
Arunachal Pradesh,2006,Kharif     ,Small millets,586,2259.6,492
Arunachal Pradesh,2006,Rabi       ,Wheat,34,2259.6,73
Arunachal Pradesh,2006,Whole Year ,Dry chillies,21,2259.6,30
Arunachal Pradesh,2006,Whole Year ,Dry ginger,158,2259.6,1199
Arunachal Pradesh,2006,Whole Year ,Oilseeds total,76,2259.6,75
Arunachal Pradesh,2006,Whole Year ,Potato,102,2259.6,925
Arunachal Pradesh,2006,Whole Year ,Sugarcane,7,2259.6,7
Arunachal Pradesh,2006,Whole Year ,Turmeric,15,2259.6,76
Arunachal Pradesh,2007,Kharif     ,Maize,3360,3020.7,3763
Arunachal Pradesh,2007,Kharif     ,Rice,4085,3020.7,2530
Arunachal Pradesh,2007,Kharif     ,Small millets,635,3020.7,521
Arunachal Pradesh,2007,Rabi       ,Wheat,30,3020.7,48
Arunachal Pradesh,2007,Whole Year ,Dry chillies,22,3020.7,314
Arunachal Pradesh,2007,Whole Year ,Dry ginger,160,3020.7,1179
Arunachal Pradesh,2007,Whole Year ,Oilseeds total,95,3020.7,98
Arunachal Pradesh,2007,Whole Year ,Potato,104,3020.7,847
Arunachal Pradesh,2007,Whole Year ,Sugarcane,6,3020.7,36
Arunachal Pradesh,2007,Whole Year ,Turmeric,18,3020.7,90
Arunachal Pradesh,2008,Kharif     ,Maize,3461,2244.4,4049
Arunachal Pradesh,2008,Kharif     ,Rice,3901,2244.4,2516
Arunachal Pradesh,2008,Kharif     ,Small millets,667,2244.4,553
Arunachal Pradesh,2008,Rabi       ,Wheat,30,2244.4,49
Arunachal Pradesh,2008,Whole Year ,Dry chillies,20,2244.4,26
Arunachal Pradesh,2008,Whole Year ,Dry ginger,168,2244.4,1267
Arunachal Pradesh,2008,Whole Year ,Oilseeds total,100,2244.4,95
Arunachal Pradesh,2008,Whole Year ,Potato,115,2244.4,936
Arunachal Pradesh,2008,Whole Year ,Sugarcane,7,2244.4,38
Arunachal Pradesh,2008,Whole Year ,Turmeric,19,2244.4,93
Arunachal Pradesh,2009,Kharif     ,Maize,3490,1749.9,4257
Arunachal Pradesh,2009,Kharif     ,Rice,3945,1749.9,2355.33
Arunachal Pradesh,2009,Kharif     ,Small millets,675,1749.9,499
Arunachal Pradesh,2009,Rabi       ,Wheat,25,1749.9,37
Arunachal Pradesh,2009,Whole Year ,Dry chillies,18,1749.9,25
Arunachal Pradesh,2009,Whole Year ,Dry ginger,200,1749.9,1600
Arunachal Pradesh,2009,Whole Year ,Oilseeds total,3945,1749.9,3533
Arunachal Pradesh,2009,Whole Year ,Potato,120,1749.9,1080
Arunachal Pradesh,2009,Whole Year ,Sugarcane,6,1749.9,31
Arunachal Pradesh,2009,Whole Year ,Turmeric,22,1749.9,66
Arunachal Pradesh,2010,Kharif     ,Maize,3450,2855.7,4485
Arunachal Pradesh,2010,Kharif     ,Rice,3949,2855.7,3631
Arunachal Pradesh,2010,Kharif     ,Small millets,695,2855.7,556
Arunachal Pradesh,2010,Rabi       ,Wheat,10,2855.7,15
Arunachal Pradesh,2010,Whole Year ,Dry chillies,20,2855.7,30
Arunachal Pradesh,2010,Whole Year ,Dry ginger,115,2855.7,920
Arunachal Pradesh,2010,Whole Year ,Oilseeds total,137,2855.7,137
Arunachal Pradesh,2010,Whole Year ,Potato,110,2855.7,935
Arunachal Pradesh,2010,Whole Year ,Turmeric,20,2855.7,50
Arunachal Pradesh,2011,Kharif     ,Maize,3560,2193.7,4747
Arunachal Pradesh,2011,Kharif     ,Rice,3489,2193.7,2988
Arunachal Pradesh,2011,Kharif     ,Small millets,1381,2193.7,1104
Arunachal Pradesh,2011,Rabi       ,Wheat,10,2193.7,16
Arunachal Pradesh,2011,Whole Year ,Dry chillies,22,2193.7,35
Arunachal Pradesh,2011,Whole Year ,Dry ginger,118,2193.7,950
Arunachal Pradesh,2011,Whole Year ,Oilseeds total,139,2193.7,154
Arunachal Pradesh,2011,Whole Year ,Potato,117,2193.7,1043
Arunachal Pradesh,2011,Whole Year ,Turmeric,20,2193.7,51
Arunachal Pradesh,2012,Kharif     ,Maize,3995,3440.3,3885
Arunachal Pradesh,2012,Kharif     ,Rice,3561,3440.3,2996
Arunachal Pradesh,2012,Kharif     ,Small millets,1381,3440.3,1105
Arunachal Pradesh,2012,Rabi       ,Wheat,13,3440.3,20
Arunachal Pradesh,2012,Whole Year ,Dry chillies,24,3440.3,96
Arunachal Pradesh,2012,Whole Year ,Dry ginger,120,3440.3,980
Arunachal Pradesh,2012,Whole Year ,Oilseeds total,139,3440.3,139
Arunachal Pradesh,2012,Whole Year ,Potato,120,3440.3,1022
Arunachal Pradesh,2012,Whole Year ,Turmeric,18,3440.3,41
Arunachal Pradesh,2013,Kharif     ,Maize,3595,2042.9,3885
Arunachal Pradesh,2013,Kharif     ,Rice,3561,2042.9,2624
Arunachal Pradesh,2013,Kharif     ,Small millets,1381,2042.9,1105
Arunachal Pradesh,2013,Rabi       ,Wheat,13,2042.9,20
Arunachal Pradesh,2013,Whole Year ,Dry chillies,24,2042.9,95
Arunachal Pradesh,2013,Whole Year ,Dry ginger,120,2042.9,980
Arunachal Pradesh,2013,Whole Year ,Oilseeds total,139,2042.9,139
Arunachal Pradesh,2013,Whole Year ,Potato,120,2042.9,1022
Arunachal Pradesh,2013,Whole Year ,Turmeric,18,2042.9,40
Arunachal Pradesh,2014,Kharif     ,Maize,1290,2403.2,3197
Arunachal Pradesh,2014,Kharif     ,Rice,3561,2403.2,2394
Arunachal Pradesh,2014,Kharif     ,Small millets,2367,2403.2,2792
Arunachal Pradesh,2014,Whole Year ,Dry chillies,28,2403.2,57
Arunachal Pradesh,2014,Whole Year ,Dry ginger,63,2403.2,1270
Arunachal Pradesh,2014,Whole Year ,Oilseeds total,254,2403.2,246
Arunachal Pradesh,2014,Whole Year ,Potato,33,2403.2,138
Arunachal Pradesh,2014,Whole Year ,Turmeric,27,2403.2,613
Arunachal Pradesh,1997,Kharif     ,Maize,1520,2274.9,2725
Arunachal Pradesh,1997,Kharif     ,Rice,11500,2274.9,13800
Arunachal Pradesh,1997,Kharif     ,Sesamum,424,2274.9,313
Arunachal Pradesh,1997,Kharif     ,Small millets,2000,2274.9,1500
Arunachal Pradesh,1997,Kharif     ,Soyabean,373,2274.9,450
Arunachal Pradesh,1997,Kharif     ,Sunflower,51,2274.9,24
Arunachal Pradesh,1997,Rabi       ,Groundnut,285,2274.9,277
Arunachal Pradesh,1997,Rabi       ,Rapeseed &Mustard,4205,2274.9,3300
Arunachal Pradesh,1997,Rabi       ,Sugarcane,230,2274.9,4695
Arunachal Pradesh,1997,Rabi       ,Wheat,240,2274.9,260
Arunachal Pradesh,1997,Whole Year ,Oilseeds total,5500,2274.9,4450
Arunachal Pradesh,1998,Kharif     ,Maize,1575,3616.7,2450
Arunachal Pradesh,1998,Kharif     ,Rice,11550,3616.7,14316
Arunachal Pradesh,1998,Kharif     ,Sesamum,430,3616.7,244
Arunachal Pradesh,1998,Kharif     ,Small millets,2000,3616.7,1305
Arunachal Pradesh,1998,Kharif     ,Soyabean,520,3616.7,592
Arunachal Pradesh,1998,Kharif     ,Sunflower,55,3616.7,20
Arunachal Pradesh,1998,Rabi       ,Groundnut,120,3616.7,126
Arunachal Pradesh,1998,Rabi       ,Rapeseed &Mustard,4215,3616.7,3200
Arunachal Pradesh,1998,Rabi       ,Wheat,225,3616.7,230
Arunachal Pradesh,1998,Whole Year ,Dry chillies,535,3616.7,470
Arunachal Pradesh,1998,Whole Year ,Dry ginger,150,3616.7,795
Arunachal Pradesh,1998,Whole Year ,Oilseeds total,5625,3616.7,4295
Arunachal Pradesh,1998,Whole Year ,Potato,350,3616.7,1650
Arunachal Pradesh,1998,Whole Year ,Sugarcane,240,3616.7,4650
Arunachal Pradesh,1998,Whole Year ,Turmeric,105,3616.7,535
Arunachal Pradesh,1999,Kharif     ,Maize,1620,2316.6,2610
Arunachal Pradesh,1999,Kharif     ,Rice,11600,2316.6,13733
Arunachal Pradesh,1999,Kharif     ,Small millets,2000,2316.6,1375
Arunachal Pradesh,1999,Rabi       ,Wheat,225,2316.6,235
Arunachal Pradesh,1999,Whole Year ,Dry chillies,540,2316.6,485
Arunachal Pradesh,1999,Whole Year ,Dry ginger,155,2316.6,850
Arunachal Pradesh,1999,Whole Year ,Oilseeds total,5675,2316.6,4475
Arunachal Pradesh,1999,Whole Year ,Potato,350,2316.6,1775
Arunachal Pradesh,1999,Whole Year ,Pulses total,1190,2316.6,775
Arunachal Pradesh,1999,Whole Year ,Sugarcane,255,2316.6,4800
Arunachal Pradesh,1999,Whole Year ,Turmeric,110,2316.6,565
Arunachal Pradesh,2000,Kharif     ,Maize,864,2596.8,1322
Arunachal Pradesh,2000,Kharif     ,Rice,11925,2596.8,16387
Arunachal Pradesh,2000,Kharif     ,Small millets,2000,2596.8,1375
Arunachal Pradesh,2000,Rabi       ,Wheat,225,2596.8,235
Arunachal Pradesh,2000,Whole Year ,Dry chillies,314,2596.8,415
Arunachal Pradesh,2000,Whole Year ,Dry ginger,437,2596.8,2308
Arunachal Pradesh,2000,Whole Year ,Oilseeds total,3484,2596.8,2857
Arunachal Pradesh,2000,Whole Year ,Potato,755,2596.8,3238
Arunachal Pradesh,2000,Whole Year ,Pulses total,293,2596.8,238
Arunachal Pradesh,2000,Whole Year ,Sugarcane,215,2596.8,648
Arunachal Pradesh,2000,Whole Year ,Turmeric,99,2596.8,455
Arunachal Pradesh,2001,Kharif     ,Maize,985,2036,1473
Arunachal Pradesh,2001,Kharif     ,Rice,11857,2036,16250
Arunachal Pradesh,2001,Kharif     ,Small millets,2010,2036,1608
Arunachal Pradesh,2001,Rabi       ,Wheat,200,2036,220
Arunachal Pradesh,2001,Whole Year ,Dry chillies,308,2036,410
